month,repository_language,pushes
2012-08,Smalltalk,580
2012-08,ASP,2358
2012-08,Objective-J,642
2012-08,Verilog,962
2012-08,Eiffel,318
2012-08,SuperCollider,284
2012-08,Factor,1492
2012-08,Rust,3882
2012-08,AutoHotkey,1032
2012-08,Standard ML,604
2012-08,Nimrod,140
2012-08,Visual Basic,3382
2012-08,FORTRAN,3260
2012-08,Coq,576
2012-08,Pure Data,152
2012-08,Ada,190
2012-08,XQuery,316
2012-08,AppleScript,238
2012-08,Parrot,536
2012-08,Bro,152
2012-08,Ceylon,60
2012-08,Vala,1218
2012-08,Scilab,448
2012-08,Apex,1160
2012-08,Arc,60
2012-08,Elixir,784
2012-08,Nemerle,968
2012-08,Prolog,1782
2012-08,Ioke,76
2012-08,ColdFusion,2944
2012-08,Scala,38214
2012-08,Emacs Lisp,32004
2012-08,Go,20690
2012-08,Io,128
2012-08,D,5770
2012-08,PowerShell,1916
2012-08,Lua,27228
2012-08,Shell,139400
2012-08,R,13464
2012-08,Dylan,278
2012-08,Objective-C,98586
2012-08,C#,104884
2012-08,VimL,76294
2012-08,Java,552054
2012-08,Kotlin,264
2012-08,Augeas,62
2012-08,DCPU-16 ASM,80
2012-08,Common Lisp,5472
2012-08,Scheme,3348
2012-08,F#,2290
2012-08,OpenEdge ABL,576
2012-08,Matlab,4426
2012-08,Assembly,2980
2012-08,Dart,2580
2012-08,Racket,5004
2012-08,Erlang,11580
2012-08,Arduino,3726
2012-08,OCaml,6586
2012-08,Julia,1806
2012-08,CoffeeScript,34146
2012-08,Puppet,11990
2012-08,ActionScript,15896
2012-08,Groovy,11414
2012-07,Racket,1748
2012-07,Common Lisp,3324
2012-07,AutoHotkey,510
2012-07,Fancy,18
2012-07,R,8504
2012-07,F#,1272
2012-07,Visual Basic,2188
2012-07,Go,11688
2012-07,Matlab,5172
2012-07,Pure Data,188
2012-07,FORTRAN,2058
2012-07,Scala,24814
2012-07,DCPU-16 ASM,406
2012-07,Puppet,8050
2012-07,D,5486
2012-07,OCaml,3998
2012-07,HaXe,2734
2012-07,ActionScript,8292
2012-07,Smalltalk,894
2012-07,Elixir,466
2012-07,Arduino,2976
2012-07,ColdFusion,2330
2012-07,PowerShell,1084
2012-07,SuperCollider,396
2012-07,Apex,438
2012-07,VHDL,624
2012-07,Standard ML,786
2012-07,Opa,164
2012-07,Parrot,352
2012-07,Io,104
2012-07,Turing,88
2012-07,Nimrod,230
2012-07,Tcl,566
2012-07,Ada,224
2012-07,Verilog,690
2012-07,Assembly,1884
2012-07,Scilab,462
2012-07,Delphi,2474
2012-07,Objective-J,722
2012-07,Julia,1080
2012-07,Prolog,1116
2012-07,Coq,580
2012-07,XQuery,198
2012-07,Nemerle,294
2012-07,Dart,930
2012-07,Rust,2346
